file_path,title,summary,Category
ICOLD - CFRD New Bulletin 2023\Dynamic Response\(ASCE)1090-0241(2004)130_1(103).pdf,"""Nonlinear Seismic Response of Earth Dams with Canyon Interaction""","The document discusses a study on the seismic response of La Villita Dam and the effects of dam-canyon interaction and inelastic deformation of the dam on earthquake response. The study used a dam-canyon model that considered the deformability of the surrounding medium and the effects of spatial variation of seismic excitation. The article describes the nonlinear behavior of the dam material using a two-dimensional shear model based on the multiyield surface plasticity theory and analyzed its behavior during free vibrations. The methodology was applied to the La Villita Dam and compared to results from a linear analysis. The article also discusses the response of a dam to different frequencies of excitation in the frequency domain and the power spectral density and behavior of linear and nonlinear models of a dam at different locations and frequencies. The effects of nonlinearity and dam-canyon interaction are seen at different frequencies, and the shear strains in the dam behave elastically at first but become inelastic later on during excitation. The document concludes with acknowledgments, references, and concluding remarks about a study of the inelastic response of La Villita Dam to the 1985 Mexico earthquake.",Dynamic Response
ICOLD - CFRD New Bulletin 2023\Dynamic Response\1-s2.0-S0141029619335564-main.pdf,"""Fragility analysis of high CFRDs subjected to mainshock-aftershock sequences based on plastic failure""","The document is a collection of excerpts discussing the fragility of concrete-faced rockfill dams (CFRDs) under seismic activity, particularly mainshock-aftershock sequences. The authors use fragility analysis to evaluate the probability of CFRDs reaching various limit states under different combinations of mainshocks and aftershocks. The analysis focuses on the vertical deformation and damage index as engineering demand parameters, and the behavior of concrete face slabs is studied using the plastic-damage model. The study finds that aftershocks significantly increase the fragility of CFRDs, and the probability of plastic failure increases proportionally to the relative intensity of aftershocks. The excerpts also include references to other research on earthquake safety evaluation, damage assessment, fragility analysis, and seismic performance investigation of different types of dams.",Dynamic Response
ICOLD - CFRD New Bulletin 2023\Dynamic Response\1-s2.0-S0267726115000755-main.pdf,Geotechnical aspects and seismic damage of the 156-m-high Zipingpu concrete-faced rockfill dam following the Ms 8.0 Wenchuan earthquake,"The provided text discusses the Zipingpu hydraulic project and the effects of the 2008 Wenchuan earthquake on the Zipingpu Concrete-Faced Rockfill Dam in China. The document includes descriptions of the project's location, geology, seismicity, design, and construction, as well as measurements taken during and after the earthquake. Despite sustaining damage, the dam remained structurally stable and safe due to thoughtful design considerations, adequate zoning, and well-compacted rock-fill. Various references and sources are listed, most of which are in Chinese. The text emphasizes the importance of geotechnical aspects of design for high-embankment dams in seismic regions of western China.",Dynamic Response
ICOLD - CFRD New Bulletin 2023\Dynamic Response\1-s2.0-S026772611730057X-main.pdf,"""Seismic response of concrete-rockfill combination dam using large-scale shaking table tests""","The document discusses various studies related to dams and their seismic behavior under different ground motions. The studies cover topics such as the use of large-scale shaking table tests to investigate seismic response, dynamic earth pressure, deformation, and slope failure pattern. The results indicate that some aseismatic reinforcement measures should be taken at the top of the slope. The document also provides references to studies related to earth pressure on retaining walls, joint materials, particle breakage, and more.",Dynamic Response
ICOLD - CFRD New Bulletin 2023\Dynamic Response\1-s2.0-S0267726118306213-main.pdf,Seismic performance investigation of high CFRDs subjected to mainshock-aftershock sequences.,"The document discusses a study on the seismic safety of a 200-meter high concrete face rockfill dam (CFRD), focusing on the impact of mainshock-aftershock seismic sequences. The study used a 2D finite element model and conducted elastic-plastic analyses based on three damage measures (DMs). The results showed that CFRDs will experience additional damage or destruction while experiencing an aftershock, indicating that seismic design codes for CFRDs need to consider aftershock effects. The article includes figures showing the deformation, shear strain, and DI of the dam under different seismic events. Additionally, the study emphasizes the destruction caused by seismic sequences, which is greater than that caused by a single seismic event. Finally, a list of references for various studies related to the analysis and assessment of the seismic performance of concrete dams, particularly high CFRDs, is provided.",Dynamic Response
ICOLD - CFRD New Bulletin 2023\Dynamic Response\1-s2.0-S0267726118308844-main.pdf,"""Examining the seismic stress evolution in the face slab of concrete-faced rock-fill dams using dynamic centrifuge tests""","The document discusses various studies on the seismic behavior of concrete-faced rock-fill dams (CFRDs) using dynamic centrifuge testing. The studies examine stress evolution, failure modes, and deformation patterns during earthquakes. The results show variations in stress evolution patterns and indicate that CFRDs are highly dependent on geometrical and material properties as well as input motion characteristics. The studies provide insights into the seismic design of CFRDs and the need for accurate simulation configurations and constitutive models. The document also includes information about relevant references and codes for further reading.",Dynamic Response
ICOLD - CFRD New Bulletin 2023\Dynamic Response\Yao2019_Article_SeismicResponseOfHighConcreteF.pdf,Seismic response of high concrete face rockfill dams subjected to non-uniform input motion.,"The document discusses the seismic response of concrete-face rockfill dams (CFRDs) under both uniform and non-uniform ground motion input, including numerical analysis methods and simulations. The study concludes that non-uniform input should be considered in seismic design and discusses various factors that can affect the response of the dam, such as incident angle and amplification factor. The need for further research on efficient high-fidelity analysis methods, plasticity constitutive models, and wave scattering solutions for non-uniform bedrock is also mentioned. The document includes references to various research papers and sources related to seismic analysis and safety.",Dynamic Response
ICOLD - CFRD New Bulletin 2023\Geomemrane Face Concrete Dams (GFRD)\TheAdventOfGeo.pdf,"""Advantages of Using Geomembrane Faced Earth and Rock Dams (GFRD)""","The document discusses the use of synthetic materials, particularly geomembranes, as facings for dams. It covers advantages and disadvantages of different facing materials, such as concrete and synthetic options like PVC and HDPE, and discusses techniques for welding and connecting facings to the embankment structure. The document also covers issues like deformations and volume changes that can occur in rockfill dams and outlines methods for protecting facings from wind and wave damage. Overall, the document provides technical information for the use of synthetic materials in civil engineering with respect to dam construction and refurbishment.",Geomemrane Face Concrete Dams (GFRD)
ICOLD - CFRD New Bulletin 2023\Numerical Analysis\(ASCE)0733-9410(1990)116_5(822).pdf,"""Nonlinear Analysis of Concrete Face Rockfill Dam""","The given document discusses the design and construction of concrete membrane face rockfill dams and the challenges associated with it. The document includes information on finite element analysis, stress and strain calculations, and the use of material properties in the analysis of these dams. Various factors influencing the behavior of these dams, such as valley abutment slopes and creep deformations in rockfill, are also discussed. Finally, the document includes references and appendices related to the analysis and design of rockfill dams.",Numerical Analysis
ICOLD - CFRD New Bulletin 2023\Numerical Analysis\(ASCE)1090-0241(2003)129_3(206).pdf,"""Testing and Modeling Two Rockfill Materials""","The document discusses laboratory testing and constitutive modeling of rockfill materials obtained from two dam sites. The testing includes triaxial cell equipment to apply conﬁning pressure and axial load to specimens of the rockfill materials, and measuring axial and volumetric strain to determine material parameters for prototype rockfill materials. The document also discusses particle breakage during shearing and the calculation of the breakage factor Bg. The disturbed state concept (DSC) developed by Desai is used to characterize the behavior of the rockfill materials, and the Disturbance Strength Criterion (DSC) describes material response in terms of continuous and discontinuous components. Equations are provided for finding the values of disturbance parameters, stress-strain relationships, and determining the ultimate parameters. Material parameters were predicted for prototype rockfill materials using elastoplastic models, and the results were verified through field instrumentation. Several references related to soil mechanics and engineering are also included.",Numerical Analysis
ICOLD - CFRD New Bulletin 2023\Numerical Analysis\(ASCE)GT.1943-5606.0000058.pdf,"""Predicting the Behavior of an Earth and Rockfill Dam Under Construction""","The given text includes various studies and models related to the construction and behavior of dams, particularly the Lechago Earth Dam in Spain. It discusses the use of elastoplastic models for unsaturated soils and hydromechanical behavior of soils. The text includes tables describing the hydraulic, physical, and constitutive parameters of dam materials. It also covers simulations of the behavior of compacted soil in dams, including the distribution of pore water pressure and settlements along the dam axis. The text provides a list of references related to geotechnical engineering, particularly pertaining to the analysis and modeling of earth dams.",Numerical Analysis
ICOLD - CFRD New Bulletin 2023\Numerical Analysis\06743276.pdf,"""Simulation Analysis for Reinforced Concrete Face Rockfill Dam of Tuanjie Reservoir""","The document discusses a simulation analysis of a reinforced concrete face rockfill dam. The dam is analyzed under different calculation cases, and the stress and deformation values are evaluated through finite element analysis. The stress values are mainly compressive and meet the strength requirements, while displacement values are small and meet rigidity requirements. The text includes tables, contour maps, and figures with element division, showing the distribution of stress and displacement values under different cases. Two calculation paths and different design parameters are discussed in the text as well. There is a list of numbers labeled as Path 1 and Path 2, and three cases labeled as Case 2, Case 3, and Case 4, but there is no context provided for their meaning.",Numerical Analysis
ICOLD - CFRD New Bulletin 2023\Numerical Analysis\1-s2.0-S0038080616300130-main.pdf,"""Numerical simulation of soft longitudinal joints in concrete-faced rockfill dam""","The given document is a technical paper discussing the use of soft joints to reduce extrusion damage to concrete faces in high concrete-faced rockfill dams (CFRDs). The paper proposes a new generalized node-to-segment formulation for solving multi-body contact problems in CFRDs and includes a numerical analysis of the Tianshengqiao-1 CFRD project in China. The article discusses various methods for simulating contact and deformation in non-conforming meshes and introduces the use of Lagrange multipliers to represent contact tractions. The paper includes a creep model for rockfill materials and a bilinear extrusion model for describing the effect of absorbing extrusion deformation. The study finds that soft joints in the compressive zone can effectively reduce axial stress of the face slabs, and that further research is needed to fully understand the cause of extrusion damage. The paper also lists various research articles related to computational methods and analysis of concrete-faced rockfill dams.",Numerical Analysis
ICOLD - CFRD New Bulletin 2023\Numerical Analysis\1-s2.0-S0266352X14002183-main.pdf,"""Back-analysis of soil parameters of the Malutang II concrete face rockfill dam using parallel mutation particle swarm optimization""","The document discusses the challenges of accurately determining the mechanical properties of earth-rockfill dams and the use of displacement back-analysis to verify and modify soil parameters. It focuses on the back-analysis of the Malutang II concrete face rockfill dam using parallel mutation particle swarm optimization to control deformation in earth-rockfill dam design. The document describes the triaxial compression tests on rockfill materials to determine soil parameters, the calculation of displacement in a dam using FEM and the Duncan and Chang's E-B model, and the use of Particle Swarm Optimization (PSO) and a Nonlinear Mutation technique to optimize parameter values in Geotechnical Engineering. The document provides the steps for a parallel MPSO displacement back-analysis procedure and discusses the use of MPSO (multi-objective particle swarm optimization) method to back-analyze the rockfill parameters of Malutang II. The text also contains a list of references for research studies related to various topics including soil liquefaction, strength and deformation properties of rock fill, scale effect on stress and deformation of rock fill, and optimization algorithms.",Numerical Analysis
ICOLD - CFRD New Bulletin 2023\Numerical Analysis\1-s2.0-S0266352X16303263-main.pdf,"""Monitoring and numerical analysis of behaviour of Miaojiaba concrete-face rockfill dam built on river gravel foundation in China""","The document explores the behavior of Concrete Face Rockfill Dams (CFRDs) built on river gravel foundations, using a case study on the Miaojiaba CFRD in China. It includes studies on construction, deformation monitoring, numerical analysis, and material properties. The paper aims to fill a knowledge gap and provide a comprehensive understanding of CFRDs on river gravel foundations. The study provides useful insights into CFRD behavior and offers important references for design and assessment.",Numerical Analysis
ICOLD - CFRD New Bulletin 2023\Numerical Analysis\1-s2.0-S1674237019300808-main.pdf,"""Long-term deformation analysis of Shuibuya concrete face rockfill dam based on response surface method and improved genetic algorithm""","The document discusses various methods and algorithms used for back analysis of rockfill dams, specifically focusing on the response surface method. The study involves evaluating the mechanical parameters of the rockfill material and considers time-dependent effects on deformation. The text describes the methodology for using the response surface function to predict deformation in a dam structure and the use of the improved genetic algorithm to obtain optimal parameters for the minimum value of the objective function. The study demonstrates the accuracy and efficiency of the RSM for rockfill parameter back analysis. The paper includes a list of references for further study on parameter inversion, stress simulation analysis, and deformation control theory.
",Numerical Analysis
ICOLD - CFRD New Bulletin 2023\Numerical Analysis\9742961.pdf,"""Parameter Sensitivity and Inversion Analysis for a Concrete Face Rockfill Dam Based on CS-BPNN""","The document discusses several studies and methods related to the deformation behavior and mechanical analysis of rockfill material in concrete face rockfill dams. The studies include the use of various models, such as the E-ν model and Burgers model, and parametric inversion analysis through the modified Morris method and CS-BPNN algorithm. The text also includes figures and tables showing settlement and stress distributions, as well as a list of references for relevant articles. Additionally, there is a list of journals published in 2018 by Hindawi covering various engineering fields.",Numerical Analysis
ICOLD - CFRD New Bulletin 2023\Numerical Analysis\9780784482100.012.pdf,"""Numerical Simulation of Dynamic Centrifuge Tests on Concrete Faced Rockfill Dam""","The document discusses a study on the seismic behavior of concrete faced rockfill dams (CFRDs) using numerical simulation and dynamic centrifuge tests. The study investigates the influence of un/reloading rules and interface types between the concrete slab and rockfill on the dynamic behavior of the dam. The document details the properties of the rockfill and the configuration of the numerical model used in the test. The text discusses various soil models for use in nonlinear site response analyses and investigates the impact of the interface type between the rockfill and concrete face. The authors acknowledge the financial support and data provided by organizations in Turkey and South Korea. Finally, the document lists various sources related to geotechnical and geoenvironmental engineering research and publications.",Numerical Analysis
ICOLD - CFRD New Bulletin 2023\Numerical Analysis\Fu2019_Article_AGeneralizedPlasticityModelFor.pdf,"""Generalized plasticity model for stress-strain and creep behavior of rockfill materials""","The given document discusses the modeling of stress and creep behavior in concrete face rockfill dams (CFRDs) made of rockfill materials. A generalized plasticity model is proposed and verified through experimental data for predicting deformation and stress of dams. The document includes discussions on constitutive equations for plastic strains caused by creep, parameters used in constitutive models, creep-induced plastic flow direction tensors, and stress-induced plastic flow. The text also describes studies conducted on the behavior of rockfill materials, including creep behavior, constitutive modeling, and experimental tests. Finally, there are references to various publications related to geotechnical engineering and earth and rockfill dam engineering.",Numerical Analysis
ICOLD - CFRD New Bulletin 2023\Numerical Analysis\Pang2019_Article_SeismicPerformanceAssessmentOf.pdf,"I'm sorry, but based on the information you provided, I cannot accurately guess the title of the paper. Can you provide more details or information about the paper?","The document discusses the use of fragility analysis for seismic performance assessment of high concrete face rockfill dams (CFRDs) and includes various approaches and studies related to fragility analysis for concrete dams. The use of different seismic performance assessment indices and different ground motion records for the analysis is discussed. The document also covers models used for analyzing the behavior of earth dams and the use of geotechnical engineering software for performance analysis. Overall, the document provides information on fragility analysis and its application in assessing the seismic safety of high CFRDs, including examples of failure grades, safety assessment, and grading standards used in other studies.",Numerical Analysis
ICOLD - CFRD New Bulletin 2023\Numerical Analysis\Seismic response analysis of face slabs in concrete face rockfill dams (1).pdf,Seismic response analysis of face slabs in concrete face rockfill dams,"The document discusses the behavior of concrete face slabs in concrete-faced rockfill dams (CFRDs) under seismic events, using an advanced model to simulate interface behavior. It compares the effectiveness of contact analysis and a thin-layer interface element in simulating seismic responses. The text also includes a list of references to research papers and articles on the topic of concrete-faced rockfill dams, their behavior and analysis, seismic excitation, and soil-structure interaction.",Numerical Analysis
ICOLD - CFRD New Bulletin 2023\Numerical Analysis\Seismic response analysis of face slabs in concrete face rockfill dams.pdf,Seismic response analysis of face slabs in concrete face rockfill dams.,"The document discusses studies on the behavior of concrete-faced rockfill dams (CFRDs) under seismic events and soil-structure interactions, including the interface between the concrete face slab and the cushion layer. The study examines different numerical methods and experimental observations to simulate the granular soil-structure interface and discusses the effects of various factors on the concrete slab response. The article also provides a list of academic journal articles related to geotechnical engineering and soil-structure interactions.",Numerical Analysis
ICOLD - CFRD New Bulletin 2023\Numerical Analysis\Zheng2019_Article_NumericalSimulationOfMechanica.pdf,"""Numerical simulation of mechanical characteristics of concrete face rockfill dam under complicated geological conditions""","The document discusses a study on the stress and deformation characteristics of concrete face rockfill dams under complex geological conditions using the finite element analysis method. Deformation control is important for the safety of the dam, and there is still a lot to be researched on this topic. Theoretical analysis methods and numerical simulations are used to analyze the mechanical properties of concrete and rockfill. The simulation of concrete face rockfill dams using finite element software is also discussed. The document concludes with the importance of researching concrete face rockfill dams under complex geological conditions and the need for further research using computer technology.",Numerical Analysis
ICOLD - CFRD New Bulletin 2023\Numerical Analysis\geng.11.00027.pdf,"""Three-dimensional analysis of a concrete-face rockfill dam""","The provided text is excerpts from a long document discussing the construction, behavior, and analysis of concrete-face rockfill dams (CFRDs). Topics covered include the advantages and construction of CFRDs, the behavior of the face slab, the need to consider 3D effects in the study of first reservoir filling, the design of the perimeter joint of the face slab, stresses on the face slab, and axial forces in the face slab. The text also includes information about the modeling and instrumentation of CFRDs and references to related papers.",Numerical Analysis
ICOLD - CFRD New Bulletin 2023\Numerical Analysis\geng.2006.159.1.49.pdf,"Sorry, based on the given information, the title of the paper is not specified.","The provided text consists of several sections discussing the behavior and analysis of high rockfill dams during impounding, including a case study of the Masjed-E-Soleyman rockfill dam in Iran. The document includes findings on saturation collapse, reduced arching, induced settlements, and numerical modeling using the Hardening Soil constitutive model. The text also features data, figures, and tables related to material properties, stresses, settlements, and deformation. Additionally, the document provides a list of references and guidelines for submitting articles to a geotechnical engineering journal.",Numerical Analysis
ICOLD - CFRD New Bulletin 2023\Numerical Analysis\geot2013.57753.0011.pdf,"""Modelling the response of Lechago earth and rockfill dam""","The document is about the Lechago Dam, which is an earth and rockfill structure. The dam was built on soft foundation soil and incorporated a narrow central clay core with wide rockfill shoulders. The document discusses the construction of the dam, and the testing and analysis of its behavior using laboratory tests and finite element modeling. The text describes the geology and soil characteristics of the dam site, as well as the transport, placement, and compaction of quartzitic Cambrian shales used in the dam's construction. The document includes technical information on test results and the model used for analysis, as well as discussions on the simulation and prediction of the dam's behavior during impounding. Additionally, the document includes references to academic papers and theses related to porous materials mechanics and dam construction.",Numerical Analysis
ICOLD - CFRD New Bulletin 2023\Numerical Analysis\jgeen.14.00103.pdf,Behavior of concrete-face rockfill dam on sand and gravel foundation.,"The document discusses the behavior of a specific concrete-face rockfill dam built on a sand and gravel foundation, including its construction process, seepage control system, and the effect of different construction schemes on its behavior. The paper also examines the behavior of different components of the dam, such as the cut-off wall and face slab, and presents measured and simulated results of stresses, deformations, and settlements. The authors discuss potential issues with dam construction and suggest improvements, such as using a suspended cut-off wall or choosing an appropriate construction scheme. Finally, the document contains a list of related research articles and invites submissions for the journal.",Numerical Analysis
ICOLD - CFRD New Bulletin 2023\Numerical Analysis\jgeen.19.00006.pdf,"""Plastic-damage analysis of concrete cutoff wall for a concrete face rockfill dam""","The document discusses various studies and research papers related to the behavior, construction, and analysis of different types of dams, including concrete face rockfill dams, seepage barriers, and slurry cutoff walls. It covers topics such as stress-deformation of diaphragm walls, the effectiveness of cutoff walls under hydraulic structures, and deformation and cracking of seepage barriers in dams. The document also includes references to papers and a call for contributions to a civil engineering journal.",Numerical Analysis
ICOLD - CFRD New Bulletin 2023\Numerical Analysis\jgeot.17.p.299.pdf,Grain size and time effect on the deformation of rockfill dams: a case study on the Shuibuya CFRD.,"The document discusses various aspects of rockfill dams, including challenges in predicting settlement, limitations of current models, and methods for incorporating scaling effects. It also discusses models for characterizing the behavior of rockfill and the use of laboratory tests to determine material properties. The document presents case studies of rockfill dams and includes discussions on factors such as loading cycles, particle breakage, creep, and grain size scaling. Finally, the document includes a list of references for further reading.",Numerical Analysis
ICOLD - CFRD New Bulletin 2023\Rockfill Behavior\(ASCE)0733-9410(1984)110_7(821).pdf,"""Post-construction deformation of rockfill dams""","The document discusses various studies and methods for predicting the post-construction deformations of rockfill dams, focusing on crest settlements and deflections. The effectiveness and limitations of empirical equations in predicting dam movements are explored, and an alternative approach based on comparing with similar dams is proposed. The document provides information on the construction method, loading during the post-construction period, and fill and foundation materials for several dams. Tables, equations, and charts are also provided to aid in predicting dam behavior. The text also includes references and citations from various publications related to dams and geotechnical engineering.",Rockfill Behavior
ICOLD - CFRD New Bulletin 2023\Rockfill Behavior\(ASCE)0733-9410(1987)113_1(46).pdf,"""Postconstruction Deformations of Rockfill Dams""","The document discusses post-construction deformation and settlement of rockfill dams with a central or slightly inclined core. Settlement follows three stages: initial small settlement, a substantial increase, and then a continuous decrease. The article provides insights into the behavior and monitoring of rockfill dams, including various methods to evaluate deformation and settlement. The text discusses settlements and deformations in rockfill and core materials and describes the effects of impounding on rockfill-dam deformation. It also includes graphs, data points, and references related to rockfill and earth dams.",Rockfill Behavior
ICOLD - CFRD New Bulletin 2023\Rockfill Behavior\(ASCE)1090-0241(2003)129_10(909).pdf,"""Rockfill Modulus and Settlement of Concrete Face Rockfill Dams""","The given text is a portion of a long document that discusses the properties of rockfill dams, especially dumped rockfill and concrete face rockfill dams. It includes measurements of crest settlement and time-dependent settlement rates, offers methods for estimating rockfill modulus, crest settlements, and face slab deformations. The data is based on a broad database of well-instrumented dams with detailed information on material properties and placement methods. The text also acknowledges sources of support for research on the pre- and post-failure deformation behavior of soil slopes and lists references for additional reading on the topic.",Rockfill Behavior
ICOLD - CFRD New Bulletin 2023\Rockfill Behavior\(ASCE)1090-0241(2003)129_4(307).pdf,"""Time for Development of Internal Erosion and Piping in Embankment Dams""","The document discusses the estimation of the time for progression of internal erosion and piping in embankment dams and their foundations, as well as the potential for loss of life in the event of dam failure. The process of internal erosion and piping is broken up into several phases, and tables and case studies are provided to assess the time it takes for breach formation and erosion progression. The effectiveness of monitoring programs and intervention measures is also discussed, along with various publications and sources related to assessing the probability of failure of embankment dams.",Rockfill Behavior
ICOLD - CFRD New Bulletin 2023\Rockfill Behavior\(ASCE)1090-0241(2003)129_9(785).pdf,"The title of the paper is ""Some Uncertainties in Embankment Dam Engineering"".","The provided text consists of various segments discussing issues related to the design and construction of embankment dams, including uncertainties, risk assessment, issues with material placement and segregation, the impact of weather conditions and frost, incidents of seepage, erosion, and sinkholes, and the importance of appropriate filter design and placement. The text also includes a list of references related to geotechnical and civil engineering topics.",Rockfill Behavior
ICOLD - CFRD New Bulletin 2023\Rockfill Behavior\(ASCE)GM.1943-5622.0000977.pdf,"""Particle Breakage of Rockfill Materials during Triaxial Tests""","The given document excerpts discuss various studies and tests related to particle breakage in rockfill materials under triaxial testing conditions. The studies investigate the effects of specimen preparation, consolidation, and constricting pressure on particle breakage and analyze the impact of breakage on the dilatancy, friction angle, strength, and permeability of rockfill materials used in dam engineering. The texts also include information on the behavior and deformation of rockfill materials, the limitations and factors affecting particle breakage, and various models and simulations used to analyze and understand the behavior of granular materials.",Rockfill Behavior
ICOLD - CFRD New Bulletin 2023\Rockfill Behavior\(ASCE)GM.1943-5622.0001517.pdf,"""Particle Breakage of Rockfill Material during Triaxial Tests under Complex Stress Paths""","The document discusses the behavior of rockfill materials under different stress paths during triaxial testing, and the effects of particle breakage on the structure, strength, friction angle, and permeability of the rockfill. The study investigates rockfill particle breakage under different equal stress ratio paths and transitional stress paths, and the loading stress path significantly influences particle breakage. The article includes stress-strain curves, graphs, and tables that analyze the relationship between particle breakage, plastic work, and different stress paths. The document contains references to various academic papers related to the mechanical behavior of rockfill materials under different stress conditions and loading frequencies.",Rockfill Behavior
ICOLD - CFRD New Bulletin 2023\Rockfill Behavior\(ASCE)GT.1943-5606.0001176.pdf,"""Influence of Density and Pressure on Strength and Deformation of Rockfill Material: Large-Scale Triaxial Compression Tests""","The given text includes various portions from different documents, including journal articles and reference lists, related to geotechnical engineering, specifically the behavior of rockfill and sand materials under different conditions of stress and density. The documents discuss different factors affecting the strength and deformation behaviors of the materials, including initial void ratio, initial confining pressure, density, and particle shape. Equations and graphs are provided to illustrate these relationships. The documents also mention various testing devices and loading paths used in different studies, as well as predictive and constitutive models for material behavior. Finally, the documents include reference lists of various research articles related to geotechnical and geoenvironmental engineering, covering topics such as soil mechanics, seismic analysis of dams, and construction techniques for concrete-faced rockfill dams.",Rockfill Behavior
